x,y
2533238.681,1155090.436
2533245.540,1155115.861
2533248.568,1155128.300
2533253.552,1155149.167
2533260.627,1155181.448
2533265.918,1155208.541
2533269.964,1155231.876
2533269.965,1155231.878
2533273.558,1155255.435
2533278.093,1155290.789
2533281.818,1155327.294
2533283.753,1155356.683
2533285.535,1155393.892
2533286.459,1155432.971
2533285.905,1155469.272
2533284.054,1155511.314
2533281.500,1155544.999
2533278.420,1155576.212
2533275.201,1155600.391
2533272.507,1155619.669
2533268.282,1155645.430
2533260.164,1155688.929
2533254.050,1155716.339
2533243.865,1155758.567
2533232.752,1155797.830
2533222.950,1155829.188
2533208.503,1155872.708
2533195.754,1155908.116
2533181.071,1155946.007
2533170.905,1155971.798
2533155.550,1156007.860
2533139.631,1156043.909
2533124.755,1156076.305
2533103.557,1156120.346
2533084.101,1156159.722
2533068.349,1156190.850
2533059.395,1156207.781
2533033.469,1156256.962
2532997.506,1156323.629
2532972.827,1156368.737
2532937.953,1156432.086
2532919.859,1156465.843
2532897.300,1156509.796
2532872.623,1156557.089
2532838.900,1156622.138
2532814.299,1156671.589
2532784.534,1156734.004
2532758.131,1156792.062
2532740.894,1156831.984
2532717.377,1156887.947
2532696.922,1156937.724
2532676.962,1156988.925
2532666.571,1157015.886
2532655.912,1157045.461
2532647.490,1157069.135
2532639.632,1157092.224
2532628.741,1157125.040
2532619.232,1157154.300
2532605.084,1157200.460
2532596.478,1157229.659
2532586.077,1157266.034
2532574.948,1157306.609
2532566.245,1157340.127
2532556.549,1157378.777
2532542.828,1157437.307
2532534.809,1157473.528
2532526.111,1157515.781
2532521.359,1157539.862
2532511.937,1157590.683
2532505.295,1157628.694
2532498.627,1157668.563
2532487.518,1157737.529
2532474.600,1157818.717
2532468.626,1157857.924
2532461.969,1157902.914
2532453.524,1157959.698
2532447.206,1158002.363
2532440.093,1158050.306
2532437.214,1158070.823
2532429.812,1158120.651
2532422.321,1158173.324
2532412.896,1158240.446
2532402.719,1158314.438
2532398.101,1158347.838
2532389.370,1158413.322
2532380.508,1158482.115
2532371.344,1158553.128
2532361.026,1158635.017
2532354.411,1158689.123
2532347.267,1158748.523
2532339.329,1158817.712
2532331.524,1158886.636
2532324.116,1158952.385
2532316.973,1159016.679
2532312.166,1159063.000
2532312.132,1159063.323
2532309.696,1159086.794
2532303.611,1159146.061
2532297.789,1159203.342
2532291.440,1159265.387
2532285.487,1159326.638
2532281.385,1159373.205
2532276.225,1159429.958
2532268.685,1159512.906
2532264.716,1159562.779
2532261.144,1159603.922
2532260.820,1159607.724
2532259.493,1159623.316
2532259.448,1159623.849
2532251.378,1159723.068
2532247.409,1159772.808
2532241.456,1159851.523
2532235.768,1159929.178
2532229.417,1160023.898
2532227.092,1160059.407
2532226.998,1160060.843
2532225.052,1160090.573
2532222.803,1160126.558
2532216.453,1160231.068
2532214.204,1160271.946
2532208.912,1160375.266
2532203.620,1160478.058
2532199.916,1160553.596
2532197.270,1160612.598
2532194.758,1160673.981
2532192.376,1160734.307
2532189.995,1160788.547
2532188.010,1160852.312
2532187.506,1160868.641
2532187.349,1160873.743
2532186.820,1160896.363
2532184.174,1160988.969
2532183.247,1161044.664
2532183.069,1161058.478
2532183.039,1161060.734
2532182.587,1161095.729
2532182.188,1161171.929
2532182.586,1161211.616
2532183.380,1161255.405
2532184.702,1161304.617
2532186.422,1161342.717
2532187.216,1161360.179
2532190.788,1161432.013
2532195.815,1161506.625
2532200.974,1161573.168
2532203.488,1161601.742
2532212.086,1161682.572
2532215.923,1161715.778
2532220.950,1161757.582
2532226.374,1161799.253
2532232.063,1161839.999
2532239.337,1161889.740
2532245.423,1161929.296
2532249.656,1161955.225
2532257.992,1162004.438
2532265.664,1162046.772
2532266.982,1162053.712
2532267.223,1162054.983
2532271.618,1162078.125
2532282.598,1162133.028
2532297.283,1162202.083
2532311.041,1162262.806
2532325.461,1162323.397
2532339.087,1162378.562
2532351.390,1162426.188
2532361.974,1162464.419
2532375.865,1162513.236
2532388.167,1162556.099
2532401.265,1162599.754
2532421.372,1162664.049
2532436.586,1162711.144
2532454.579,1162766.442
2532475.612,1162830.340
2532494.530,1162887.755
2532510.803,1162936.968
2532529.720,1162995.838
2532536.200,1163016.074
2532536.291,1163016.357
2532551.284,1163063.174
2532570.466,1163125.484
2532584.621,1163174.299
2532600.231,1163229.598
2532612.931,1163276.031
2532617.959,1163295.346
2532642.830,1163393.375
2532653.282,1163438.089
2532657.647,1163457.669
2532665.982,1163495.372
2532673.786,1163531.356
2532688.338,1163602.660
2532697.070,1163648.565
2532704.345,1163689.179
2532711.225,1163729.131
2532716.914,1163762.866
2532722.338,1163797.659
2532727.100,1163829.674
2532732.392,1163866.450
2532737.022,1163900.581
2532740.594,1163927.040
2532746.151,1163973.210
2532748.106,1163991.102
2532748.121,1163991.246
2532751.442,1164021.629
2532755.411,1164058.141
2532759.380,1164099.154
2532762.157,1164131.167
2532765.068,1164168.870
2532767.846,1164204.589
2532770.227,1164242.029
2532772.555,1164278.532
2532774.408,1164315.310
2532776.524,1164362.804
2532777.848,1164403.284
2532778.773,1164440.591
2532780.097,1164516.526
2532780.758,1164549.732
2532781.154,1164582.143
2532781.684,1164626.594
2532782.345,1164677.261
2532783.006,1164738.512
2532783.799,1164790.501
2532784.990,1164839.450
2532785.915,1164889.588
2532787.767,1164934.038
2532790.041,1164988.971
2532790.075,1164989.796
2532790.149,1164991.584
2532793.059,1165042.516
2532795.706,1165079.294
2532799.410,1165124.272
2532804.042,1165174.543
2532808.141,1165215.157
2532812.111,1165251.802
2532817.269,1165292.018
2532822.694,1165330.781
2532828.647,1165373.511
2532835.393,1165417.828
2532842.802,1165462.410
2532847.299,1165486.884
2532855.502,1165531.732
2532865.556,1165583.325
2532873.493,1165621.293
2532883.282,1165666.271
2532893.469,1165709.398
2532904.581,1165755.833
2532919.928,1165815.894
2532932.362,1165859.550
2532943.183,1165896.830
2532955.752,1165939.296
2532965.990,1165972.050
2532972.711,1165993.905
2532983.128,1166026.292
2532993.507,1166057.511
2533003.773,1166087.872
2533014.726,1166119.053
2533029.702,1166160.632
2533047.297,1166207.794
2533058.277,1166236.237
2533072.961,1166273.543
2533091.284,1166318.258
2533098.576,1166335.769
2533115.030,1166374.218
2533117.721,1166380.511
2533132.440,1166414.262
2533149.823,1166452.468
2533161.928,1166478.530
2533183.716,1166524.514
2533202.528,1166562.932
2533221.737,1166601.429
2533242.295,1166641.275
2533262.853,1166680.328
2533285.555,1166722.952
2533307.938,1166764.227
2533330.243,1166804.867
2533351.632,1166843.458
2533360.138,1166858.806
2533373.770,1166883.230
2533388.345,1166909.484
2533406.364,1166941.710
2533425.493,1166976.080
2533441.447,1167004.972
2533454.623,1167028.943
2533469.625,1167056.328
2533484.072,1167083.236
2533498.280,1167110.144
2533514.949,1167142.291
2533533.284,1167178.724
2533547.016,1167206.823
2533560.034,1167234.604
2533571.464,1167259.766
2533583.689,1167287.192
2533596.124,1167316.694
2533607.738,1167345.651
2533618.533,1167374.940
2533628.693,1167403.991
2533636.789,1167428.121
2533642.506,1167445.864
2533650.179,1167470.469
2533656.263,1167491.372
2533662.904,1167515.672
2533670.206,1167543.930
2533675.524,1167566.393
2533683.781,1167602.763
2533687.987,1167624.971
2533694.098,1167658.706
2533696.179,1167671.192
2533702.591,1167713.078
2533706.401,1167743.875
2533711.164,1167792.056
2533712.840,1167812.690
2533714.339,1167835.474
2533715.927,1167868.653
2533716.720,1167899.451
2533716.879,1167924.771
2533716.641,1167946.997
2533716.244,1167976.842
2533714.815,1168008.750
2533713.567,1168031.155
2533710.846,1168066.615
2533707.116,1168104.159
2533703.570,1168134.239
2533699.258,1168164.961
2533693.463,1168202.029
2533688.066,1168233.303
2533680.550,1168273.277
2533669.492,1168327.839
2533660.126,1168371.257
2533643.112,1168448.961
2533633.191,1168494.336
2533621.470,1168548.105
2533612.818,1168589.142
2533599.483,1168655.102
2533592.657,1168691.059
2533587.260,1168719.952
2533579.401,1168765.116
2533573.910,1168798.780
2533566.701,1168846.079
2533565.530,1168854.712
2533558.287,1168907.119
2533555.192,1168931.487
2533550.429,1168970.222
2533549.052,1168983.454
2533546.010,1169009.119
2533542.173,1169046.557
2533539.079,1169080.394
2533535.031,1169130.401
2533532.967,1169159.770
2533530.189,1169205.013
2533527.807,1169256.687
2533526.299,1169302.724
2533525.426,1169341.698
2533525.109,1169368.288
2533525.019,1169403.157
2533525.188,1169426.232
2533525.823,1169452.743
2533526.840,1169482.542
2533528.443,1169511.957
2533530.506,1169538.707
2533533.046,1169566.488
2533536.221,1169596.333
2533539.872,1169624.829
2533544.159,1169653.404
2533549.318,1169684.916
2533554.239,1169711.745
2533562.494,1169751.591
2533567.971,1169775.880
2533572.230,1169793.240
2533578.687,1169818.663
2533587.101,1169849.222
2533595.356,1169877.003
2533603.928,1169904.467
2533612.977,1169931.058
2533626.777,1169969.420
2533640.140,1170004.345
2533651.950,1170034.167
2533663.063,1170061.075
2533678.065,1170097.190
2533692.352,1170131.639
2533705.608,1170164.183
2533716.085,1170190.377
2533726.245,1170216.650
2533734.015,1170237.734
2533742.120,1170260.624
2533747.677,1170276.737
2533754.503,1170297.454
2533760.456,1170316.107
2533766.875,1170337.456
2533774.945,1170365.237
2533781.649,1170389.688
