x,y
2711900.026,1263199.444
2703782.708,1267974.337
2695187.900,1266064.380
2702350.240,1262721.955
2695187.900,1258902.040
2689458.028,1262244.465
2687070.582,1264631.912
2678953.264,1257469.572
2663196.117,1253649.658
2669880.967,1259857.019
2653168.841,1249829.744
2646006.502,1250307.233
2641231.609,1246009.829
2636934.205,1237415.022
2631204.333,1236460.043
2620222.079,1239802.468
2617357.144,1235027.575
2615447.186,1230730.171
2609717.315,1221657.875
2607807.357,1221657.875
2597780.082,1224045.321
2588230.296,1225000.300
2580590.467,1224045.321
2575338.085,1219747.917
2571040.681,1216882.982
2564355.831,1212585.578
2558148.470,1208765.663
2550508.641,1202558.302
2547643.705,1196350.941
2541913.833,1191098.559
2537616.430,1189666.091
2532841.537,1183936.220
2529976.601,1180116.305
2536183.962,1175818.901
2538571.408,1171044.008
2534274.005,1163404.180
2528544.133,1161016.733
2524724.219,1156719.329
2533319.026,1155286.861
2544778.769,1153376.904
2549076.173,1151466.947
2558148.470,1149079.500
2563400.852,1145737.075
2565310.809,1139529.714
2565788.299,1135709.800
2572473.149,1128547.460
2570563.192,1121385.121
2571518.170,1115655.249
2573905.617,1109925.377
2582022.935,1112790.313
2586797.828,1117087.717
2596825.103,1120430.142
2603032.464,1122817.589
2604942.422,1124727.546
2613537.229,1127114.992
2624041.994,1128547.460
